data_solicitacao;ano_sol;caso_sirsaelp;unidade;superintendencia;diretoria;competencia;tipopericia;perito
2025-07-31 15:16:00;2025;2025.22.4349;Cyber;Florianópolis;Criminalística;Informática Forense;Exame em Mídia de Armazenamento Computacional;NIKSON
2025-07-31 15:16:00;2025;2025.16.2498;São Miguel do Oeste;Chapecó;Criminalística;Identificação de veículos;Identificação Veicular;GIANI
2025-07-31 15:18:00;2025;2025.15.1225;Lages;Lages;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;ARTUR
2025-07-31 15:19:00;2025;2025.17.2158;Araranguá;Criciúma;Criminalística;Local de crime contra o patrimônio;Exame de Dano;GELSON
2025-07-31 15:19:00;2025;2025.22.4349;Cyber;Florianópolis;Criminalística;Informática Forense;Exame em Mídia de Armazenamento Computacional;NIKSON
2025-07-31 15:20:00;2025;2025.1.1876;Joinville;Joinville;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;LEONARDO
2025-07-31 15:22:00;2025;2025.22.4522;Chapecó;Chapecó;Criminalística;Documentoscopia;Exame Grafoscópico de Autoria Gráfica;KÁTIA
2025-07-31 15:27:00;2025;2024.8.6929;Balneário Camboriú;Balneário Camboriú;Criminalística;Local de crime contra o patrimônio;Local de Furto;RUDY
2025-07-31 15:28:00;2025;2025.1.8476;Joinville;Joinville;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;LEONARDO
2025-07-31 15:40:00;2025;2025.18.1359;Concórdia;Chapecó;Criminalística;Local de crime contra o patrimônio;Exame de Dano;JOHAN
2025-07-31 15:46:00;2025;2025.17.2397;Araranguá;Criciúma;Criminalística;Local de crime contra o patrimônio;Local de Furto;DIEGO
2025-07-31 15:46:00;2025;2024.22.6664;Chapecó;Chapecó;Criminalística;Local de crime contra a vida;Local de Morte;TIAGO
2025-07-31 16:09:00;2025;2025.2.8731;Florianópolis;Florianópolis;Criminalística;Perícias ambientais;Local de Intervenção em Área Protegida;JOÃO
2025-07-31 16:09:00;2025;2025.14.998;Tubarão;Criciúma;Criminalística;Local de crime contra o patrimônio;Exame de Dano;VICTOR
2025-07-31 16:10:00;2025;2025.2.8734;Florianópolis;Florianópolis;Criminalística;Engenharia Forense;Local de Incêndio;JOSÉ
2025-07-31 16:13:00;2025;2025.9.3338;Lages;Lages;Análises Forenses;Química Forense;Pesquisa de Drogas Psicoativas;VICTOR
2025-07-31 16:15:00;2025;2025.4.3239;Blumenau;Blumenau;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;ANDRE
2025-07-31 16:24:00;2025;2025.16.2454;São Miguel do Oeste;Chapecó;Criminalística;Local de crime contra a vida;Local de Morte;GIANI
2025-07-31 16:24:00;2025;2025.2.8732;Florianópolis;Florianópolis;Criminalística;Perícias ambientais;Local de Intervenção em Área Protegida;GUSTAVO
2025-07-31 16:38:00;2025;2025.4.5181;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Pesquisa de Sangue Humano;THIAGO
2025-07-31 17:03:00;2025;2025.1.8479;Joinville;Joinville;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;LEONARDO
2025-07-31 17:19:00;2025;2025.28.1571;Chapecó;Chapecó;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;JEAN
2025-07-31 17:20:00;2025;2025.2.8735;Florianópolis;Florianópolis;Criminalística;Engenharia Forense;Medição de Níveis de Pressão Sonora;ANDRÉ
2025-07-31 17:24:00;2025;2025.4.5242;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa Avançada de Drogas Psicoativas;CLÓVIS
2025-07-31 17:28:00;2025;2025.2.8735;Florianópolis;Florianópolis;Criminalística;Perícias ambientais;Local de Poluição;JOÃO
2025-07-31 17:38:00;2025;2025.15.1365;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa Avançada de Drogas Psicoativas;CLÓVIS
2025-07-31 17:54:07;2025;2025.1.8475;Joinville;Joinville;Médico Legal;Traumatologia Forense;Lesão Corporal;RODRIGO
2025-07-31 19:12:00;2025;2023.14.3328;Criciúma;Criciúma;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;MATEUS
2025-07-31 20:41:00;2025;2025.8.11461;Florianópolis;Florianópolis;Análises Forenses;Toxicologia Forense;Análise Toxicológica;BRUNA
2025-08-01 00:24:00;2025;2025.28.1617;Chapecó;Chapecó;Análises Forenses;Química Forense;Pesquisa de Drogas Psicoativas;-
2025-08-01 02:26:16;2025;2025.28.1617;Xanxerê;Chapecó;Médico Legal;Traumatologia Forense;Lesão Corporal;DANY
2025-08-01 07:57:00;2025;2025.8.11481;Balneário Camboriú;Balneário Camboriú;Criminalística;Balística;Testes Balísticos e Exames Complementares;JULIA
2025-08-01 08:15:00;2025;2025.25.911;Curitibanos;Lages;Criminalística;Balística;Exame em Arma,  Munição e/ou Objeto;ANGELA
2025-08-01 08:37:00;2025;2025.14.3792;Tubarão;Criciúma;Criminalística;Local de crime contra o patrimônio;Exame de Dano;LEONARDO
2025-08-01 08:42:06;2025;2025.1.8499;Joinville;Joinville;Médico Legal;Tanatologia Forense;Necrópsia;FERNANDA
2025-08-01 09:10:00;2025;2021.21.4619;Lages;Lages;Criminalística;Perícias ambientais;Local de Intervenção em Área Protegida;RAINER
2025-08-01 09:29:00;2025;2025.9.3269;Lages;Lages;Criminalística;Local de crime contra a vida;Busca de vestígios de crime contra a vida;ARTUR
2025-08-01 09:37:00;2025;2025.2.8745;Florianópolis;Florianópolis;Médico Legal;Psiquiatria Forense;Perícia Psiquiátrica;RAFAEL
